Solving Time,Building Time,Total Time
15779710.969996814,114744.43000042811,15894455.399997242
16663569.878997805,120398.6199980136,16783968.49899582
17902897.133993976,205591.57600655453,18108488.71000053
18378713.93199748,144880.14199741883,18523594.0739949
16516942.672002187,124708.16299901344,16641650.8350012
16226140.999002382,109327.26399914827,16335468.263001531
16905662.454002596,118415.46800133074,17024077.92200393
16221562.407998135,119744.83999802032,16341307.247996155
16529155.394004192,116748.9440049394,16645904.338009132
16411809.191995416,111755.92299696291,16523565.114992378
16645405.12599342,109692.06799927633,16755097.193992697
16132053.727000311,116740.41300284443,16248794.140003156
16293251.497998426,115474.57499545999,16408726.072993886
16057944.280000811,110377.09200172685,16168321.372002538
16426912.902003096,113843.92799664056,16540756.829999737
16318240.742002672,120077.31300400337,16438318.055006675
16186989.109002752,115770.47400351148,16302759.583006263
18592620.67599775,117273.8669993123,18709894.542997062
16165949.136004202,121939.37299889512,16287888.509003097
18132198.98800162,111773.76900013769,18243972.757001758
20624871.872001678,122375.46999676852,20747247.341998447
16519125.966995489,119518.13199993921,16638644.098995429
18281198.56199919,122467.57799584884,18403666.13999504
16211717.8480039,112319.82099707238,16324037.669000972
20551618.014003906,116702.0959983347,20668320.110002242
16680518.487999506,118928.29900170909,16799446.787001215
17966863.89700335,121808.02999500884,18088671.92699836
17386452.516002465,201988.54600312188,17588441.062005587
18127016.771002673,118788.73399837175,18245805.505001046
18335435.860004507,205886.9539978332,18541322.81400234
18016978.999999993,117085.81400307594,18134064.81400307
18173196.247997113,123442.23300169688,18296638.48099881
16060334.492998663,114339.05200101435,16174673.544999678
16340490.333997877,118182.34500242397,16458672.679000301
16291364.820004674,112030.29899479588,16403395.11899947
16237889.445998007,113856.9640024798,16351746.410000488
15969136.410996726,109302.40000016056,16078438.810996886
15437749.08699561,109650.57500288822,15547399.661998497
15503397.054002563,109553.89200535137,15612950.946007915
15995782.149999287,112198.23300052667,16107980.382999813
16385302.176997356,116206.221995526,16501508.398992881
16840985.019000072,113861.31399922306,16954846.332999296
16807097.20599407,128351.87800374115,16935449.083997812
15711763.012004666,122176.01900192676,15833939.031006593
15906168.547997367,114787.3659938341,16020955.913991202
16211664.472000849,113954.8270002706,16325619.29900112
16086499.114004254,124105.68699851865,16210604.801002773
16320337.199998904,116404.28600367159,16436741.486002576
16469426.472998748,113331.9799992023,16582758.452997949
18183918.562994223,137890.15800284687,18321808.72099707
