Optimal Bins,Solving Time,Building Time,Total Time
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
60s+,60s+,60s+,60s+
